0.0,-4.403,36.835,61.785,76.879,86.012,91.537,94.879,96.902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-4.217,35.149,54.706,67.950,80.941,86.581,89.925,91.947
0.0,-3.025,34.903,52.994,66.697,79.766,85.411,88.754,90.777
0.0,-2.990,33.970,55.011,67.811,75.556,84.190,87.534,89.556
0.0,6.7950,34.993,56.165,68.966,76.710,84.852,88.208,90.230
0.0,-5.770,24.198,59.366,75.168,84.405,89.930,93.273,95.295
0.0,-6.377,24.490,50.163,71.808,81.890,87.420,90.762,92.785
0.0,-5.731,34.788,52.529,67.309,80.457,86.082,89.424,91.447
0.0,6.2724,36.008,53.607,66.905,80.276,85.934,89.277,91.300
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.5096,32.773,53.814,66.614,74.359,82.440,85.797,87.820
0.0,-2.776,25.043,43.833,72.874,82.956,88.485,91.828,93.850
0.0,-2.482,25.336,49.240,64.583,81.564,87.123,90.466,92.488
0.0,-2.574,32.796,50.269,65.013,78.454,84.831,88.174,90.196
0.0,5.7522,34.856,52.376,65.759,78.760,84.713,88.056,90.078
0.0,10.564,35.983,53.147,66.377,76.707,84.637,87.982,90.004
0.0,6.0000,34.836,51.915,65.587,73.614,83.314,86.674,88.697
0.0,-2.447,25.898,44.095,62.417,81.528,87.091,90.433,92.456
0.0,-2.447,25.335,48.268,62.892,80.158,85.989,89.332,91.354
0.0,-2.448,31.932,49.149,63.778,77.453,84.769,88.112,90.134
0.0,2.0042,32.802,50.022,63.647,76.378,82.650,85.995,88.017
0.0,2.8065,34.841,51.963,65.145,75.462,83.335,86.694,88.716
0.0,6.7046,35.851,52.799,65.765,73.926,83.280,86.768,88.790
0.0,-2.222,26.871,44.512,56.908,80.287,85.849,89.192,91.214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0285,32.562,49.934,63.019,73.082,81.056,84.428,86.450
0.0,6.0445,34.586,51.562,64.471,72.832,81.973,85.446,87.469
0.0,-2.172,27.785,45.456,57.926,68.045,83.724,87.817,89.839
0.0,-1.927,28.826,46.529,59.084,67.583,76.441,86.608,88.631
0.0,-1.808,29.765,47.499,60.130,68.644,77.564,80.944,87.437
0.0,-1.795,30.716,48.481,61.188,69.717,78.701,82.081,84.104
0.0,-1.367,31.678,49.475,62.260,70.804,79.852,83.233,85.255
0.0,-0.557,33.377,50.425,63.250,71.620,80.692,84.153,86.176